tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,GUAVA-181,com.google.common.primitives.SignedBytes,4,222,43669,1110,31,0,0,0,38,38,100.0,22,22,100.0,42,42,100.0,42,100.0,0,60,2
evosuite,GUAVA-206,com.google.common.collect.ImmutableEnumSet,2,229,44575,3861,3,0,0,0,28,8,28.57143,11,3,27.272728,21,4,19.047619,0,0.0,21,60,2
evosuite,PDFBOX-22,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret,7,241,55988,26782,25,0,4,0,36,23,63.88889,14,9,64.28571,21,11,52.380955,0,0.0,21,60,2
evosuite,FESCAR-23,com.alibaba.fescar.core.protocol.MergeResultMessage,8,226,52634,7361,24,0,0,0,42,38,90.47619,14,10,71.42857,28,27,96.42857,0,0.0,28,60,2
evosuite,GUAVA-90,com.google.common.io.FileBackedOutputStream,10,236,46383,4114,21,0,0,0,53,52,98.11321,16,16,100.0,30,29,96.666664,29,96.666664,1,60,2
evosuite,SPOON-16,spoon.reflect.path.CtElementPathBuilder,9,231,56279,158163,16,0,0,0,87,12,13.793103,51,3,5.882353,33,4,12.121212,0,0.0,33,60,2
evosuite,FESCAR-5,com.alibaba.fescar.core.protocol.MessageFuture,9,226,57670,10823,11,0,0,0,22,22,100.0,10,9,90.0,13,13,100.0,13,100.0,0,60,2
evosuite,GUAVA-212,com.google.common.net.MediaType,5,222,56332,5805,67,0,0,0,284,257,90.49296,74,57,77.02703,76,70,92.10526,0,0.0,76,60,2
evosuite,PDFBOX-22,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret,10,222,56108,20807,15,0,0,0,36,23,63.88889,14,9,64.28571,21,11,52.380955,0,0.0,21,60,2
evosuite,PDFBOX-91,org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent,5,232,55268,30174,19,0,0,0,19,15,78.94737,8,2,25.0,15,10,66.66667,0,0.0,15,60,2
evosuite,FESCAR-10,com.alibaba.fescar.core.model.BranchType,3,257,40976,929,6,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,2,232,69706,91497,17,0,1,0,60,32,53.333336,36,16,44.444447,30,17,56.666668,0,0.0,30,60,2
evosuite,PDFBOX-83,org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,9,222,53521,23383,8,0,0,0,14,14,100.0,8,8,100.0,8,8,100.0,8,100.0,0,60,2
evosuite,FESCAR-41,com.alibaba.fescar.core.rpc.netty.RmRpcClient,4,222,63502,84159,2,0,2,0,230,4,1.7391304,98,2,2.0408163,83,0,0.0,0,0.0,83,60,2
evosuite,GUAVA-129,com.google.common.collect.SparseImmutableTable,7,225,80955,5643,3,0,0,0,62,22,35.48387,12,5,41.666664,16,7,43.75,7,43.75,9,60,2
evosuite,FESCAR-17,com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse,8,240,51636,3942,18,0,0,0,36,36,100.0,12,12,100.0,17,17,100.0,17,100.0,0,60,2
evosuite,SPOON-169,spoon.reflect.visitor.ImportScannerImpl,7,227,121008,27,0,0,0,0,439,0,0.0,364,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,PDFBOX-157,org.apache.pdfbox.pdmodel.font.PDType1Font,7,234,48576,16,0,0,0,0,238,0,0.0,138,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,GUAVA-129,com.google.common.collect.SparseImmutableTable,3,238,46666,342,1,0,0,0,62,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,SPOON-32,spoon.MavenLauncher,3,225,57383,166367,10,0,0,0,40,12,30.000002,16,2,12.5,15,1,6.666667,1,6.666667,14,60,2
evosuite,FESCAR-25,com.alibaba.fescar.core.rpc.netty.RmMessageListener,1,228,64829,88804,7,0,1,0,32,15,46.875,8,5,62.5,9,2,22.222223,2,22.222223,7,60,2
evosuite,PDFBOX-40,org.apache.pdfbox.pdmodel.font.PDCIDFontType2,1,228,56062,30944,40,0,0,0,127,88,69.29134,80,45,56.25,82,61,74.39024,0,0.0,82,60,2
evosuite,FESCAR-7,com.alibaba.fescar.core.rpc.netty.MessageCodecHandler,9,225,56031,9447,15,0,3,0,130,92,70.76923,64,40,62.5,58,49,84.48276,0,0.0,58,60,2
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,10,228,45271,121929,3,0,0,0,19,11,57.894737,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,FESCAR-34,com.alibaba.fescar.core.protocol.ResultCode,8,228,41127,979,7,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-196,com.google.common.io.Closeables,7,221,46633,812,8,0,0,0,20,16,80.0,4,4,100.0,5,5,100.0,4,80.0,1,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,5,230,55470,8114,25,0,0,0,52,49,94.230774,16,15,93.75,23,21,91.30435,21,91.30435,2,60,2
evosuite,FESCAR-32,com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest,10,221,55653,7999,27,0,0,0,52,51,98.07692,16,15,93.75,23,22,95.652176,22,95.652176,1,60,2
evosuite,SPOON-25,spoon.pattern.internal.ValueConvertorImpl,5,286,121013,194598,1,0,0,0,80,8,10.0,84,5,5.952381,72,5,6.9444447,5,6.9444447,67,60,2
evosuite,PDFBOX-198,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,5,224,56174,32872,53,0,0,0,144,96,66.66667,82,27,32.92683,92,51,55.43478,0,0.0,92,60,2
evosuite,PDFBOX-62,org.apache.pdfbox.rendering.PageDrawer,7,233,53909,12,0,0,0,0,662,0,0.0,329,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,9,240,46038,122590,3,0,0,0,19,11,57.894737,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,SPOON-105,spoon.support.compiler.jdt.PositionBuilder,3,222,121013,21,0,0,0,0,363,0,0.0,278,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,GUAVA-95,com.google.common.collect.ComparatorOrdering,9,228,44087,1175,1,0,0,0,12,1,8.333334,4,0,0.0,8,0,0.0,0,0.0,8,60,2
evosuite,SPOON-105,spoon.support.compiler.jdt.PositionBuilder,9,219,60161,163609,26,0,0,0,363,46,12.672177,278,28,10.071942,170,23,13.529412,0,0.0,170,60,2
evosuite,SPOON-65,spoon.support.DefaultCoreFactory,10,232,121006,193035,25,0,0,0,438,28,6.3926945,166,0,0.0,171,2,1.1695907,2,1.1695907,169,60,2
evosuite,SPOON-155,spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction,2,234,56047,47772,47,0,0,0,67,12,17.910448,32,0,0.0,28,3,10.714286,0,0.0,28,60,2
evosuite,GUAVA-224,com.google.common.primitives.UnsignedLongs,10,229,49894,1675,73,0,0,0,112,112,100.0,70,70,100.0,140,140,100.0,140,100.0,0,60,2
evosuite,FESCAR-8,com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory,3,220,66523,91650,16,0,0,0,60,29,48.333332,36,14,38.88889,30,15,50.0,0,0.0,30,60,2
evosuite,SPOON-155,spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction,7,226,57419,156573,19,0,0,0,67,11,16.41791,32,0,0.0,28,2,7.1428576,0,0.0,28,60,2
evosuite,PDFBOX-130,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner,3,234,55647,68785,23,0,0,0,145,24,16.551723,6,1,16.666668,75,6,8.0,6,8.0,69,60,2
evosuite,GUAVA-206,com.google.common.collect.ImmutableEnumSet,9,235,41203,340,1,0,0,0,28,0,0.0,11,0,0.0,21,0,0.0,0,0.0,21,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,7,229,57368,5566,2,0,1,0,23,3,13.043478,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,GUAVA-177,com.google.common.primitives.Doubles,8,228,55612,1904,74,0,0,0,104,102,98.07692,58,58,100.0,113,113,100.0,113,100.0,0,60,2
evosuite,SPOON-25,spoon.pattern.internal.ValueConvertorImpl,2,242,119618,185824,1,0,0,0,80,8,10.0,84,5,5.952381,72,5,6.9444447,0,0.0,72,60,2
evosuite,GUAVA-110,com.google.common.collect.LexicographicalOrdering,2,229,51532,329,1,0,0,0,23,0,0.0,12,0,0.0,16,0,0.0,0,0.0,16,60,2
evosuite,SPOON-169,spoon.reflect.visitor.ImportScannerImpl,9,222,62822,31,5,1,0,0,439,0,0.0,364,0,0.0,143,0,0.0,0,0.0,143,60,2
evosuite,PDFBOX-278,org.apache.pdfbox.pdfwriter.ContentStreamWriter,4,224,56868,183810,40,0,1,0,77,72,93.50649,30,29,96.666664,58,54,93.10345,0,0.0,58,60,2
evosuite,FESCAR-5,com.alibaba.fescar.core.protocol.MessageFuture,1,216,47503,1029,14,0,0,0,22,22,100.0,10,10,100.0,13,13,100.0,13,100.0,0,60,2
evosuite,FESCAR-9,com.alibaba.fescar.core.protocol.transaction.GlobalBeginRequest,9,225,53031,7952,17,0,0,0,30,29,96.666664,6,6,100.0,11,10,90.909096,10,90.909096,1,60,2
evosuite,GUAVA-128,com.google.common.base.Throwables,4,225,46574,1329,43,0,0,0,92,77,83.69565,38,32,84.210526,41,37,90.2439,37,90.2439,4,60,2
evosuite,FESCAR-33,com.alibaba.fescar.core.model.GlobalStatus,1,231,40886,951,6,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,PDFBOX-83,org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,8,225,53014,11213,4,0,0,0,14,12,85.71429,8,5,62.5,8,8,100.0,8,100.0,0,60,2
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,4,230,44765,90124,3,0,0,0,19,9,47.368423,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,3,236,44792,126438,3,0,0,0,19,9,47.368423,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,PDFBOX-278,org.apache.pdfbox.pdfwriter.ContentStreamWriter,10,230,55356,26791,15,0,0,0,77,72,93.50649,30,29,96.666664,58,54,93.10345,0,0.0,58,60,2
evosuite,GUAVA-159,com.google.common.primitives.ParseRequest,1,234,41059,849,9,0,0,0,19,19,100.0,12,12,100.0,8,8,100.0,4,50.0,4,60,2
evosuite,GUAVA-39,com.google.common.collect.TreeMultiset,1,229,63332,6007,10,0,1,0,195,0,0.0,96,0,0.0,129,0,0.0,0,0.0,129,60,2
evosuite,PDFBOX-214,org.apache.pdfbox.pdfparser.EndstreamOutputStream,6,239,44692,1084,22,0,0,0,41,41,100.0,40,40,100.0,44,44,100.0,26,59.090908,18,60,2
evosuite,GUAVA-2,com.google.common.collect.MinMaxPriorityQueue,6,230,49979,2395,4,0,0,0,106,18,16.981133,53,4,7.5471697,96,19,19.791668,19,19.791668,77,60,2
evosuite,PDFBOX-26,org.apache.pdfbox.pdmodel.encryption.SecurityProvider,8,227,45120,90855,3,0,0,0,19,11,57.894737,2,2,100.0,2,2,100.0,2,100.0,0,60,2
evosuite,FESCAR-28,com.alibaba.fescar.core.rpc.ClientType,2,228,40860,1026,6,0,0,0,8,8,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-12,com.alibaba.fescar.core.rpc.netty.RpcServerHandler,4,231,48723,6784,12,0,0,0,26,26,100.0,8,7,87.5,6,6,100.0,6,100.0,0,60,2
evosuite,FESCAR-23,com.alibaba.fescar.core.protocol.MergeResultMessage,1,281,52825,7138,22,0,0,0,42,38,90.47619,14,11,78.57143,28,27,96.42857,0,0.0,28,60,2
evosuite,SPOON-65,spoon.support.DefaultCoreFactory,3,249,121010,16,0,0,0,0,438,0,0.0,166,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,FESCAR-6,com.alibaba.fescar.core.rpc.netty.TmRpcClient,10,225,63620,83755,2,0,2,0,179,6,3.3519554,74,2,2.7027028,72,0,0.0,0,0.0,72,60,2
evosuite,PDFBOX-117,org.apache.pdfbox.filter.Predictor,4,225,57206,57639,76,0,0,0,110,91,82.72727,69,52,75.36232,175,131,74.85715,0,0.0,175,60,2
evosuite,GUAVA-212,com.google.common.net.MediaType,10,233,56233,6136,65,0,0,0,284,263,92.60563,74,58,78.37838,76,71,93.42105,0,0.0,76,60,2
evosuite,PDFBOX-127,org.apache.pdfbox.pdfparser.PDFObjectStreamParser,4,237,53869,24745,7,0,0,0,32,17,53.125,14,5,35.714287,18,8,44.444447,8,44.444447,10,60,2
evosuite,SPOON-32,spoon.MavenLauncher,1,234,55452,157722,7,0,0,0,40,12,30.000002,16,2,12.5,15,1,6.666667,1,6.666667,14,60,2
evosuite,FESCAR-13,com.alibaba.fescar.core.exception.TransactionExceptionCode,6,223,41028,891,6,0,0,0,21,21,100.0,4,4,100.0,6,6,100.0,6,100.0,0,60,2
evosuite,GUAVA-177,com.google.common.primitives.Doubles,10,230,51684,1841,75,0,0,0,104,103,99.03847,58,58,100.0,113,113,100.0,113,100.0,0,60,2
evosuite,SPOON-65,spoon.support.DefaultCoreFactory,1,233,121011,27,0,0,0,0,438,0,0.0,166,0,0.0,0,0,0.0,0,0.0,0,60,0
evosuite,PDFBOX-234,org.apache.pdfbox.pdmodel.interactive.action.PDActionSound,6,223,55750,18342,27,0,0,0,43,42,97.674416,18,16,88.88889,31,31,100.0,0,0.0,31,60,2
evosuite,GUAVA-129,com.google.common.collect.SparseImmutableTable,6,225,115987,5524,1,0,0,0,62,22,35.48387,12,5,41.666664,16,7,43.75,7,43.75,9,60,2
evosuite,GUAVA-224,com.google.common.primitives.UnsignedLongs,3,232,49466,1568,72,0,0,0,112,112,100.0,70,70,100.0,140,140,100.0,140,100.0,0,60,2
evosuite,GUAVA-169,com.google.common.math.LongMath,10,234,55735,1871,176,0,0,0,265,255,96.22642,270,255,94.44444,142,141,99.29578,141,99.29578,1,60,2
