"","benchmark","class","run","timeBudget","tool","score"
"1","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue",1,60,"evosuite",0.613207544
"2","GUAVA-22","com.google.common.graph.Graphs",1,60,"evosuite",1.4106754
"3","GUAVA-39","com.google.common.collect.TreeMultiset",1,60,"evosuite",0
"4","GUAVA-47","com.google.common.collect.FilteredEntryMultimap",1,60,"evosuite",0.0536418345507049
"5","GUAVA-90","com.google.common.io.FileBackedOutputStream",1,60,"evosuite",6.84779866
"6","GUAVA-95","com.google.common.collect.ComparatorOrdering",1,60,"evosuite",5.3333333
"7","GUAVA-102","com.google.common.collect.LinkedListMultimap",1,60,"evosuite",1.972543076
"8","GUAVA-110","com.google.common.collect.LexicographicalOrdering",1,60,"evosuite",0
"9","GUAVA-128","com.google.common.base.Throwables",1,60,"evosuite",6.13092302
"10","GUAVA-129","com.google.common.collect.SparseImmutableTable",1,60,"evosuite",2.63706330197005
"11","GUAVA-159","com.google.common.primitives.ParseRequest",1,60,"evosuite",5
"12","GUAVA-169","com.google.common.math.LongMath",1,60,"evosuite",6.79504332346369
"13","GUAVA-177","com.google.common.primitives.Doubles",1,60,"evosuite",6.9903847
"14","GUAVA-181","com.google.common.primitives.SignedBytes",1,60,"evosuite",7
"15","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType",1,60,"evosuite",7
"16","GUAVA-196","com.google.common.io.Closeables",1,60,"evosuite",4.80000004
"17","GUAVA-206","com.google.common.collect.ImmutableEnumSet",1,60,"evosuite",0.83116886
"18","GUAVA-212","com.google.common.net.MediaType",1,60,"evosuite",2.5452988
"19","GUAVA-224","com.google.common.primitives.UnsignedLongs",1,60,"evosuite",7
"20","GUAVA-240","com.google.common.collect.FilteredMultimapValues",1,60,"evosuite",0.11538462
"21","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider",1,60,"evosuite",1.05052237105263
"22","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret",1,60,"evosuite",4.0198413
"23","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider",1,60,"evosuite",6.57894737
"24","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2",1,60,"evosuite",1.8179134
"25","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer",1,60,"evosuite",0
"26","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode",1,60,"evosuite",6.75
"27","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent",1,60,"evosuite",3
"28","PDFBOX-117","org.apache.pdfbox.filter.Predictor",1,60,"evosuite",2.88187470701299
"29","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser",1,60,"evosuite",4.3854168
"30","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner",1,60,"evosuite",0
"31","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font",1,60,"evosuite",0
"32","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine",1,60,"evosuite",1.27632468035088
"33","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream",1,60,"evosuite",5.38015518
"34","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter",1,60,"evosuite",0.48111888
"35","PDFBOX-229","org.apache.pdfbox.util.XMLUtil",1,60,"evosuite",1.425714304
"36","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound",1,60,"evosuite",2.75452196
"37","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder",1,60,"evosuite",0
"38","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font",1,60,"evosuite",1.4953704
"39","PDFBOX-278","org.apache.pdfbox.pdfwriter.ContentStreamWriter",1,60,"evosuite",2.84242424
