"","benchmark","class","tool","budget","config","score.mean","score.sd"
"1","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue","evosuite",60,"GUAVA-2_com.google.common.collect.MinMaxPriorityQueue_60",0.9253144714,0.903834007234276
"2","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue","evosuite",180,"GUAVA-2_com.google.common.collect.MinMaxPriorityQueue_180",1.2138364814,1.15419246146515
"3","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue","randoop",60,"GUAVA-2_com.google.common.collect.MinMaxPriorityQueue_60",4.47457968005059,0.0240272603061928
"4","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue","randoop",180,"GUAVA-2_com.google.common.collect.MinMaxPriorityQueue_180",4.55349512010207,0.0303168919977284
"5","GUAVA-22","com.google.common.graph.Graphs","evosuite",60,"GUAVA-22_com.google.common.graph.Graphs_60",1.574400869,0.341387396131136
"6","GUAVA-22","com.google.common.graph.Graphs","evosuite",180,"GUAVA-22_com.google.common.graph.Graphs_180",1.443681934,0.119414609350184
"7","GUAVA-22","com.google.common.graph.Graphs","randoop",60,"GUAVA-22_com.google.common.graph.Graphs_60",1.02925104909529,0.000787055813210388
"8","GUAVA-22","com.google.common.graph.Graphs","randoop",180,"GUAVA-22_com.google.common.graph.Graphs_180",1.04983778138407,0.000473906240491155
"9","GUAVA-39","com.google.common.collect.TreeMultiset","evosuite",60,"GUAVA-39_com.google.common.collect.TreeMultiset_60",1.456363327,1.20767311481939
"10","GUAVA-39","com.google.common.collect.TreeMultiset","evosuite",180,"GUAVA-39_com.google.common.collect.TreeMultiset_180",2.241815771,1.24815834960062
"11","GUAVA-39","com.google.common.collect.TreeMultiset","randoop",60,"GUAVA-39_com.google.common.collect.TreeMultiset_60",3.47041336056497,0.0696076182564032
"12","GUAVA-39","com.google.common.collect.TreeMultiset","randoop",180,"GUAVA-39_com.google.common.collect.TreeMultiset_180",3.62383648656596,0.00631415588074892
"13","GUAVA-47","com.google.common.collect.FilteredEntryMultimap","evosuite",60,"GUAVA-47_com.google.common.collect.FilteredEntryMultimap_60",0.00699256862894946,0.0171711970756924
"14","GUAVA-47","com.google.common.collect.FilteredEntryMultimap","evosuite",180,"GUAVA-47_com.google.common.collect.FilteredEntryMultimap_180",0.100079700826599,0.122394916728802
"15","GUAVA-47","com.google.common.collect.FilteredEntryMultimap","randoop",60,"GUAVA-47_com.google.common.collect.FilteredEntryMultimap_60",0.0255136358345216,7.54494275166458e-05
"16","GUAVA-47","com.google.common.collect.FilteredEntryMultimap","randoop",180,"GUAVA-47_com.google.common.collect.FilteredEntryMultimap_180",0.0260587760118024,1.88556339561973e-05
"17","GUAVA-90","com.google.common.io.FileBackedOutputStream","evosuite",60,"GUAVA-90_com.google.common.io.FileBackedOutputStream_60",6.871179196,0.12205167255202
"18","GUAVA-90","com.google.common.io.FileBackedOutputStream","evosuite",180,"GUAVA-90_com.google.common.io.FileBackedOutputStream_180",6.269559732,2.20380732785172
"19","GUAVA-90","com.google.common.io.FileBackedOutputStream","randoop",60,"GUAVA-90_com.google.common.io.FileBackedOutputStream_60",5.92206421983798,0.0197407154835833
"20","GUAVA-90","com.google.common.io.FileBackedOutputStream","randoop",180,"GUAVA-90_com.google.common.io.FileBackedOutputStream_180",6.05055862293043,0.012645975730921
"21","GUAVA-95","com.google.common.collect.ComparatorOrdering","evosuite",60,"GUAVA-95_com.google.common.collect.ComparatorOrdering_60",1.274999998,2.0420162119494
